ano,id_region,comuna,nombre_electo,partido,votacion_candidato,total,porcentaje
2008,9,CUNCO,MITTERSTEINER GARRIDO PATRICIO,UDI,3958,8801,44.97
2008,9,CURACAUTIN,SAQUEL ALBARRAN JORGE,IND,3830,8422,45.48
2008,9,CURARREHUE,CARRASCO RUIZ HECTOR,RN,1898,4021,47.20
2008,9,ERCILLA,VILUGRON MARTINEZ JOSE,UDI,1246,4193,29.72
2008,9,FREIRE,ARIAS LOPEZ LUIS,DC,5434,11073,49.07
2008,9,GALVARINO,HERNANDEZ SAFFIRIO MIGUEL,DC,2589,6231,41.55
2008,9,GORBEA,SIEGMUND GONZALEZ GUIDO,UDI,3795,8059,47.09
2008,9,LAUTARO,HAURI GOMEZ RENATO,DC,8353,14556,57.39
2008,9,LONCOCHE,PEÑA RIQUELME SERGIO,RN,6671,10649,62.64
2008,9,LONQUIMAY,VASQUEZ VEROIZA GUILLERMO ALBERTO,PPD,1830,4873,37.55
2008,9,LOS SAUCES,VILCHES ALVAREZ RAMON,DC,2521,4493,56.11
2008,9,LUMACO,PAINIQUEO TRAGNOLAO MANUEL,PS,2397,5365,44.68
2008,9,MELIPEUCO,NAVARRETE FUENTES EDUARDO,UDI,1298,3150,41.21
2008,9,NUEVA IMPERIAL,SALAS TRAUTMANN MANUEL,DC,6552,14377,45.57
2008,9,PADRE LAS CASAS,DELGADO CASTRO JUAN EDUARDO,RN,7988,20744,38.51
2008,9,PERQUENCO,MUÑOZ PEREZ LUIS ALBERTO,DC,1926,3789,50.83
2008,9,PITRUFQUEN,CATALAN CANDIA HUMBERTO,IND,5620,10574,53.15
2008,9,PUCON,MANSILLA BARRIA EDITA,PPD,4055,9263,43.78
2008,9,PUREN,QUIÑONES LARA BENIGNO,DC,4418,6071,72.77
2008,9,RENAICO,MORALES URRA IVONNE,IND,1819,4812,37.80
2008,9,SAAVEDRA,TRIPAINAO CALFULAF RICARDO,PPD,2990,6386,46.82
2008,9,TEMUCO,BECKER ALVEAR MIGUEL,RN,42855,87004,49.26
2008,9,TEODORO SCHMIDT,PEZO MARDONES YOLANDA,RN,3707,7832,47.33
2008,9,TOLTEN,GARCIA FERLICE RAFAEL,UDI,2791,5048,55.29
2008,9,TRAIGUEN,OSSES PONCE RIGOBERTO,IND,2994,9998,29.95
2008,9,VICTORIA,MONSALVES CASTILLO HUGO,IND,6340,16056,39.49
2008,9,VILCUN,VILLANUEVA RUBILAR PATRICIO,PPD,5634,10820,52.07
2008,9,VILLARRICA,ASTETE MERMOUD PABLO,RN,14624,21335,68.54
2008,10,ANCUD,KRUGER FINSTERBUSCH FEDERICO ENRIQUE,UDI,8896,17620,50.49
2008,10,CALBUCO,CARDENAS GOMEZ RUBEN ROLANDO,PRSD,5935,11442,51.87
2008,10,CASTRO,AGUILA SERPA NELSON HUGO,DC,8998,14310,62.88
2008,10,CHAITEN,VASQUEZ CELEDON PEDRO,IND,1483,2925,50.70
2008,10,CHONCHI,ANDRADE OYARZUN PEDRO GERARDO,DC,2917,5692,51.25
2008,10,COCHAMO,SOTO SOTOMAYOR CARLOS,PRSD,1018,2123,47.95
2008,10,CURACO DE VELEZ,CURUMILLA SOTOMAYOR LUIS,DC,1467,2114,69.39
2008,10,DALCAHUE,HURTADO ALVAREZ ALFREDO,DC,2746,4415,62.20
2008,10,FRESIA,ESPINOZA VILLALOBOS BERNARDO ALEJANDRO,PS,3315,7331,45.22
2008,10,FRUTILLAR,ESPINOZA SANDOVAL RAMON,PS,5318,7336,72.49
2008,10,FUTALEUFU,CARVALLO PARDO HECTOR ARTURO,DC,562,1220,46.07
2008,10,HUALAIHUE,IBACACHE MUÑOZ FREDDY ALEJANDRO,PPD,1825,4511,40.46
2008,10,LLANQUIHUE,VASQUEZ VASQUEZ FERNANDO,IND,3438,7694,44.68
2008,10,LOS MUERMOS,GONZALEZ BURGOS EMILIO,UDI,5937,7316,81.15
2008,10,MAULLIN,CARCAMO CARCAMO JUAN ERWIN,DC,3579,7070,50.62
2008,10,OSORNO,BERTIN VALENZUELA JAIME,DC,30487,62622,48.68
2008,10,PALENA,DELGADO CASANOVA ALADIN,RN,454,965,47.05
2008,10,PUERTO MONTT,QUINTEROS LARA RABINDRANATH,PS,38724,60972,63.51
2008,10,PUERTO OCTAY,MANCILLA SOLIS CARLOS,DC,3338,4796,69.60
2008,10,PUERTO VARAS,BAHAMONDE CEA RAMON,UDI,10047,15840,63.43
2008,10,PUQUELDON,CARCAMO BARRIA ELSON,IND,1443,2436,59.24
