ano,id_region,comuna,nombre_electo,partido,votacion_candidato,total,porcentaje
2004,8,HUALPEN,RIVERA ARANCIBIA MARCELO,PPD,19530,40402,48.34
2004,8,HUALQUI,GALAN OROSTICA RENATO,PDC,3662,9444,38.78
2004,8,LAJA,PINTO ALBORNOZ JOSE,PS,6367,11191,56.89
2004,8,LEBU,GONZALEZ ANJARI CARLOS,PS,4864,10774,45.15
2004,8,LOS ALAMOS,MELITA VINETT LAUTARO,IND,5193,8955,57.99
2004,8,LOS ANGELES,ROSALES GUZMAN JOEL,IND,34461,66698,51.67
2004,8,LOTA,MARCHANT ULLOA PATRICIO,PDC,10852,26509,40.94
2004,8,MULCHEN,JARA DELGADO FRANCISCO,UDI,7560,13864,54.53
2004,8,NACIMIENTO,MONTES CISTERNAS GERARDO,PS,8065,12408,65.00
2004,8,NEGRETE,VON-JENTSCHYK CRUZ EDWIN,PS,3083,4627,66.63
2004,8,NINHUE,BLANCO HADI CARMEN,IND,1408,4018,35.04
2004,8,ÑIQUEN,GARRIDO TORRES DOMINGO,PPD,3408,6377,53.44
2004,8,PEMUCO,GUIÑEZ NUÑEZ JOHNNSON,IND,2532,4756,53.24
2004,8,PENCO,CACERES COLLAO GUILLERMO,IND,10875,21682,50.16
2004,8,PINTO,LARENAS SUAZO EDUARDO,IND,2394,6626,36.13
2004,8,PORTEZUELO,SEPULVEDA ANDRADE MODESTO,PDC,2159,3828,56.40
2004,8,QUILACO,TIRAPEGUI MUÑOZ ROLANDO,PRSD,1549,2516,61.57
2004,8,QUILLECO,RIOSECO GUAJARDO RAMON,PDC,2918,5408,53.96
2004,8,QUILLON,CATALAN SALDIAS JAIME,PDC,4720,8430,55.99
2004,8,QUIRIHUE,ANDRADE VERA RAUL,IND,3396,6435,52.77
2004,8,RANQUIL,BRAVO DELGADO BENITO,PDC,1984,3284,60.41
2004,8,SAN CARLOS,RODRIGUEZ RODRIGUEZ SALVADOR IVAN,PDC,11908,24119,49.37
2004,8,SAN FABIAN,FERNANDEZ GOMEZ CRISTIAN,IND,1274,2783,45.78
2004,8,SAN IGNACIO,AEDO FIGUEROA NELSON,UDI,4638,8279,56.02
2004,8,SAN NICOLAS,TORO LEIVA VICTOR,PDC,3331,5967,55.82
2004,8,SAN PEDRO DE LA PAZ,SOTO FIGUEROA JAIME,PS,16499,26328,62.67
2004,8,SAN ROSENDO,SEPULVEDA SAN MARTIN OVIDIO,PDC,1823,2957,61.65
2004,8,SANTA BARBARA,IRAIRA SAGREDO DANIEL,IND,2971,6691,44.40
2004,8,SANTA JUANA,CASTRO MEDINA ANGEL,PDC,4773,7065,67.56
2004,8,TALCAHUANO,PORTUS GOVINDEN LEOCAN,PDC,31425,62786,50.05
2004,8,TIRUA,MILLABUR ÑANCUIL ADOLFO,IND,2190,4370,50.11
2004,8,TOME,AGUILERA AGUILERA EDUARDO,PDC,16238,25940,62.60
2004,8,TREGUACO,CUEVAS IBARRA LUIS,IND,2097,3649,57.47
2004,8,TUCAPEL,VELOSO JARA JAIME,RN,5212,6951,74.98
2004,8,YUMBEL,BETANCUR AYALA RAUL,PDC,3760,11112,33.84
2004,8,YUNGAY,CARDENAS ASTORGA LUIS,PDC,4473,8427,53.08
2004,9,ANGOL,VALDEBENITO BURGOS OBDULIO,IND,8779,22270,39.42
2004,9,CARAHUE,FIGUEROA RAMIREZ HECTOR,UDI,6741,12605,53.48
2004,9,CHOLCHOL,HUIRILEF BARRA LUIS,PPD,1218,4617,26.38
2004,9,COLLIPULLI,ROSALES NEIRA LEOPOLDO,PS,5828,10924,53.35
2004,9,CUNCO,MITTERSTEINER GARRIDO PATRICIO,UDI,4799,8699,55.17
2004,9,CURACAUTIN,REYES MOTRAN RAUL,RN,4889,8826,55.39
2004,9,CURARREHUE,PAINEFILO BARRIGA ABEL,PPD,2023,3696,54.73
2004,9,ERCILLA,PADILLA ETTER JERALDO,PS,1673,4285,39.04
2004,9,FREIRE,CAMPOS RUIZ GRICELDA,RN,4825,10902,44.26
2004,9,GALVARINO,HERNANDEZ SAFFIRIO MIGUEL,PDC,3078,6093,50.52
2004,9,GORBEA,MEZA MONCADA JUAN ESTEBAN,IND,3015,8091,37.26
2004,9,LAUTARO,HAURI GOMEZ RENATO,PDC,8074,14903,54.18
2004,9,LONCOCHE,PEÑA RIQUELME SERGIO,RN,5688,11084,51.32
2004,9,LONQUIMAY,VASQUEZ VEROIZA GUILLERMO ALBERTO,IND,1906,4639,41.09
2004,9,LOS SAUCES,VILCHES ALVAREZ RAMON,PDC,3070,4527,67.82
2004,9,LUMACO,PAINIQUEO TRAGNOLAO MANUEL,PS,2426,5081,47.75
2004,9,MELIPEUCO,BARROS COFRE EDGARDO,IND,1874,3076,60.92
2004,9,NUEVA IMPERIAL,SALAS TRAUTMANN MANUEL,PDC,7067,14109,50.09
2004,9,PADRE LAS CASAS,OYARZUN GUIÑEZ ROSA,RN,9474,20505,46.20
2004,9,PERQUENCO,MUÑOZ PEREZ LUIS ALBERTO,PDC,1904,3756,50.69
2004,9,PITRUFQUEN,LIZAMA DIAZ PEDRO,UDI,5238,9875,53.04
2004,9,PUCON,BARRA MATAMALA CARLOS,RN,3556,8316,42.76
2004,9,PUREN,QUIÑONES LARA BENIGNO,PDC,3805,6783,56.10
2004,9,RENAICO,MORALES VELASQUEZ SANTIAGO,PPD,3095,5011,61.76
2004,9,SAAVEDRA,TRIPAINAO CALFULAF RICARDO,IND,2269,6422,35.33
2004,9,TEMUCO,HUENCHUMILLA JARAMILLO FRANCISCO,PDC,47787,85295,56.03
2004,9,TEODORO SCHMIDT,RIQUELME ARRIAGADA ALFREDO,PPD,3849,7705,49.95
2004,9,TOLTEN,GARCIA FERLICE RAFAEL,UDI,3033,5306,57.16
2004,9,TRAIGUEN,ALVAREZ VALENZUELA LUIS,UDI,5481,9759,56.16
2004,9,VICTORIA,SAFFIRIO ESPINOZA JORGE ALEJANDRO,PDC,5515,16393,33.64
2004,9,VILCUN,VILLANUEVA RUBILAR PATRICIO,PPD,3173,9789,32.41
2004,9,VILLARRICA,PRAMBS KLOCKER INGRID,PDC,8130,19731,41.20
2004,10,ANCUD,OSSIO MUÑOZ PABLO ADOLFO,PDC,9519,16821,56.59
2004,10,CALBUCO,CARDENAS GOMEZ RUBEN ROLANDO,PRSD,6524,11258,57.95
2004,10,CASTRO,AGUILA SERPA NELSON HUGO,PDC,7947,14401,55.18
2004,10,CHAITEN,FRITIS PEREZ JOSE MIGUEL,IND,1350,2810,48.04
2004,10,CHONCHI,ANDRADE OYARZUN PEDRO GERARDO,PDC,2911,5294,54.99
2004,10,COCHAMO,SOTO SOTOMAYOR CARLOS,PRSD,1223,2039,59.98
2004,10,CORRAL,HERNANDEZ MELLA MIGUEL,PPD,1345,2983,45.09
2004,10,CURACO DE VELEZ,CURUMILLA SOTOMAYOR LUIS,PDC,1494,2028,73.67
2004,10,DALCAHUE,PEREZ MUÑOZ JUAN ALBERTO,RN,2216,4315,51.36
2004,10,FRESIA,SCHWERTER SIEBALD JOSE NELSON,RN,3915,7345,53.30
2004,10,FRUTILLAR,ESPINOZA SANDOVAL RAMON,PS,3431,6898,49.74
2004,10,FUTALEUFU,CARVALLO PARDO HECTOR ARTURO,PDC,774,1293,59.86
2004,10,FUTRONO,TATTER OÑATE JORGE,UDI,3357,6454,52.01
2004,10,HUALAIHUE,SANHUEZA ALVARADO LUIS EDUARDO,RN,1754,4355,40.28
2004,10,LA UNION,ASTUDILLO MAUTZ MARIA ANGELICA,IND,8474,18672,45.38
2004,10,LAGO RANCO,ROSAS LOBOS SANTIAGO,PDC,3005,4779,62.88
2004,10,LANCO,CUVERTINO GOMEZ LUIS,PS,3133,7597,41.24
2004,10,LLANQUIHUE,VARGAS GOMEZ WALTERIO,IND,4801,7447,64.47
2004,10,LOS LAGOS,MANSILLA ROA SIMON SEBASTIAN,PS,4113,8670,47.44
2004,10,LOS MUERMOS,GONZALEZ BURGOS EMILIO,UDI,4377,7755,56.44
2004,10,MAFIL,LEAL RIOS ANGELINO,PPD,2052,3812,53.83
2004,10,MARIQUINA,PACHECO AYALA ERWIN,PDC,5416,8361,64.78
2004,10,MAULLIN,CARCAMO CARCAMO JUAN ERWIN,PDC,4216,7202,58.54
